city_int,zipcode_int,state_int
1,1,1
2,2,2
5,6,5
7,8,6
9,11,8
6,12,3
6,15,3
13,18,3
6,21,3
14,24,8
14,27,8
16,30,5
14,32,8
2,33,2
8,35,7
8,34,7
18,37,3
21,41,5
2,44,2
6,45,3
1,46,1
23,47,3
24,48,8
8,55,7
4,56,4
6,57,3
8,35,7
29,59,8
5,65,9
30,66,8
4,23,4
6,76,3
35,80,3
2,81,2
2,22,2
37,83,7
2,89,2
4,43,4
2,33,2
8,35,7
40,91,5
38,92,8
37,83,7
44,97,3
46,99,3
2,81,2
5,106,5
7,107,6
29,109,8
48,110,8
33,70,3
5,112,9
40,113,5
31,115,8
50,116,3
5,117,5
51,118,6
4,120,4
7,8,6
4,124,4
1,46,1
41,94,4
10,14,4
4,138,4
65,141,8
2,89,2
4,120,4
53,146,2
62,137,8
8,10,7
2,44,2
67,151,8
4,138,4
68,153,8
70,156,3
7,158,6
6,160,3
27,161,8
72,163,8
38,84,8
34,74,8
2,155,2
11,170,3
66,171,2
6,172,3
76,173,7
2,122,2
48,110,8
5,177,5
2,155,2
8,34,7
5,178,5
8,50,7
49,183,5
8,50,7
2,184,2
80,187,8
8,108,7
24,48,8
7,189,6
81,190,8
67,151,8
7,194,6
4,63,4
2,86,2
11,195,3
84,199,4
87,204,5
6,18,3
4,205,4
88,206,2
24,48,8
2,211,2
4,75,4
8,214,7
4,75,4
9,11,8
1,1,1
14,218,8
2,79,2
62,137,8
91,221,8
93,223,6
15,226,8
1,46,1
79,228,2
6,76,3
2,60,2
14,24,8
2,3,2
14,238,8
8,240,7
6,242,3
4,123,4
8,243,7
8,50,7
98,246,3
6,191,3
49,250,5
2,155,2
99,251,8
4,132,4
53,126,2
9,11,8
35,255,3
42,260,4
105,21,3
75,169,8
5,261,5
6,262,3
2,155,2
108,267,7
2,166,2
59,133,3
109,269,8
110,270,3
40,272,5
52,119,8
16,275,5
113,276,8
101,253,8
2,79,2
115,243,7
2,211,2
11,170,3
25,49,8
7,281,6
2,284,2
6,280,3
117,285,8
5,286,5
118,118,6
2,22,2
100,252,8
87,292,5
2,294,2
121,258,8
34,74,8
4,297,4
40,298,5
6,172,3
122,129,6
8,54,7
88,300,2
14,209,8
9,11,8
8,108,7
87,308,5
6,172,3
127,309,8
8,240,7
27,273,8
2,122,2
48,110,8
78,202,2
128,314,2
5,316,9
49,319,5
1,1,1
2,166,2
40,320,5
5,38,9
7,150,6
2,3,2
59,133,3
132,324,2
107,265,6
134,327,6
85,201,4
8,329,7
135,128,6
2,184,2
43,96,8
23,47,3
8,67,7
2,89,2
4,152,4
8,144,7
2,29,2
90,220,2
5,337,9
8,50,7
2,33,2
2,241,2
31,167,8
5,337,9
29,339,8
5,342,5
122,129,6
141,67,7
38,213,8
77,344,8
6,242,3
29,339,8
8,144,7
5,345,5
4,346,4
5,347,5
16,348,5
17,31,8
5,351,5
70,156,3
143,355,6
14,218,8
6,280,3
4,63,4
25,49,8
4,356,4
5,361,5
11,248,3
4,23,4
5,364,5
23,47,3
6,160,3
16,365,5
5,185,9
8,50,7
25,49,8
75,169,8
8,104,7
16,368,5
22,43,4
11,195,3
87,369,5
2,22,2
8,310,7
90,220,2
8,380,7
4,23,4
141,67,7
2,3,2
14,209,8
5,383,5
148,18,3
14,77,8
44,97,3
150,385,7
7,13,6
14,27,8
2,22,2
8,144,7
6,172,3
107,265,6
29,109,8
6,76,3
86,203,4
11,16,3
154,392,5
112,274,3
9,11,8
8,310,7
88,300,2
5,395,5
57,217,8
130,318,8
1,46,1
49,397,5
7,281,6
2,89,2
2,89,2
8,243,7
16,404,5
6,280,3
159,408,8
5,409,5
9,11,8
2,86,2
2,241,2
5,410,5
5,411,5
4,196,4
6,215,3
6,229,3
6,12,3
2,89,2
6,377,3
8,240,7
14,77,8
45,266,3
7,281,6
5,419,5
43,96,8
2,3,2
4,398,4
5,421,5
120,295,8
2,44,2
161,422,8
42,371,4
50,116,3
6,12,3
39,88,8
119,289,3
2,155,2
6,45,3
129,317,6
1,424,1
14,336,8
5,62,9
4,26,4
34,74,8
49,299,5
75,169,8
40,428,5
33,70,3
2,211,2
76,173,7
6,191,3
2,122,2
75,169,8
14,432,8
45,98,3
54,433,5
38,84,8
6,242,3
31,301,8
144,360,8
2,44,2
134,327,6
2,33,2
5,437,5
166,439,10
6,160,3
54,441,5
21,443,5
4,372,4
8,147,7
5,446,5
116,279,8
8,310,7
62,137,8
98,246,3
4,132,4
127,309,8
168,115,8
8,102,7
169,450,8
14,198,8
4,75,4
6,21,3
14,208,8
2,79,2
146,374,6
4,398,4
50,116,3
76,173,7
63,139,8
14,210,8
5,458,5
4,123,4
14,336,8
70,156,3
8,54,7
152,389,8
2,247,2
16,404,5
5,459,5
14,349,8
49,460,5
6,15,3
25,49,8
4,462,4
6,172,3
172,464,8
11,16,3
2,155,2
8,147,7
174,469,3
130,318,8
31,301,8
14,238,8
4,63,4
5,472,5
2,148,2
6,370,3
4,56,4
6,76,3
6,15,3
5,111,9
